study_id,author_year,lang,Target,Path,crop,dep_var,x_var,beta,se,t_stat,p_report,N,df,model,endog,micro,region,data_years,spec_type,mean_y,mean_x,elast_reported,table_source,notes
109-Can_mechanized_pesticide_application_help_reduce_pesticide_use_and_increase_,"Li, Vatsa & Ma 2023",en,Yield,AMS,rice,"Rice yield (100 kg/mu, level; 表注称log-transformed但正文按level解读为40kg/mu)","Outsourcing pesticide application (predicted dummy, 0/1)",0.401,0.239,,*,847,,"Control function (CMP第一阶段+OLS第二阶段)",1,1,"Jiangsu, China",2019,baseline,5.67,0.12,,"Table 5","外包打药服务;robust SE;dep_var单位100kg/mu,正文称增产约40kg/mu;表注'log-transformed form'与正文数值解读矛盾,按正文level解读并存疑"
109-Can_mechanized_pesticide_application_help_reduce_pesticide_use_and_increase_,"Li, Vatsa & Ma 2023",en,Yield,MCI,rice,"Rice yield (100 kg/mu, level; 表注称log-transformed但正文按level解读为37kg/mu)","In-house mechanized spraying (predicted dummy, 0/1)",0.373,0.173,,**,847,,"Control function (CMP第一阶段+OLS第二阶段)",1,1,"Jiangsu, China",2019,baseline,5.67,0.30,,"Table 5","自有机械打药;robust SE;正文称增产约37kg/mu;同上表注与正文解读存疑"
110-Capital_constraints_or_biased_norms_Tracing_the_root_of_gendered_agricultura,"Wu & Zhang 2025",en,Yield,MCI,mixed,"Log land productivity (log crop output value per ha, yuan/ha)","Log machine (farm machinery value/cost per ha, log)",0.019,0.005,,***,2145,,"OLS-FE (prefecture FE + province-year FE + prefectural trends)",0,1,"China 29省 (CRHPS)",2015-2019,subgroup,,,,"Table 4 col(1)","女性户主户子样本(pooled);机械投入为生产函数投入项而非焦点变量;log-log系数即弹性;村级聚类SE"
110-Capital_constraints_or_biased_norms_Tracing_the_root_of_gendered_agricultura,"Wu & Zhang 2025",en,Yield,MCI,mixed,"Log land productivity (log crop output value per ha, yuan/ha)","Log machine (farm machinery value/cost per ha, log)",0.019,0.005,,***,1442,,"OLS-FE (prefecture FE + province-year FE + prefectural trends)",0,1,"China 29省 (CRHPS)",2015-2019,subgroup,,,,"Table 4 col(2)","女性户主×小农场子样本;机械为投入控制变量;log-log系数即弹性;村级聚类SE"
110-Capital_constraints_or_biased_norms_Tracing_the_root_of_gendered_agricultura,"Wu & Zhang 2025",en,Yield,MCI,mixed,"Log land productivity (log crop output value per ha, yuan/ha)","Log machine (farm machinery value/cost per ha, log)",0.011,0.013,,,703,,"OLS-FE (prefecture FE + province-year FE + prefectural trends)",0,1,"China 29省 (CRHPS)",2015-2019,subgroup,,,,"Table 4 col(3)","女性户主×大农场子样本;不显著;机械为投入控制变量;村级聚类SE"
110-Capital_constraints_or_biased_norms_Tracing_the_root_of_gendered_agricultura,"Wu & Zhang 2025",en,Yield,MCI,mixed,"Log land productivity (log crop output value per ha, yuan/ha)","Log machine (farm machinery value/cost per ha, log)",0.021,0.001,,***,18739,,"OLS-FE (prefecture FE + province-year FE + prefectural trends)",0,1,"China 29省 (CRHPS)",2015-2019,subgroup,,,,"Table 4 col(4)","男性户主户子样本(pooled);机械为投入控制变量;log-log系数即弹性;村级聚类SE"
110-Capital_constraints_or_biased_norms_Tracing_the_root_of_gendered_agricultura,"Wu & Zhang 2025",en,Yield,MCI,mixed,"Log land productivity (log crop output value per ha, yuan/ha)","Log machine (farm machinery value/cost per ha, log)",0.020,0.002,,***,9956,,"OLS-FE (prefecture FE + province-year FE + prefectural trends)",0,1,"China 29省 (CRHPS)",2015-2019,subgroup,,,,"Table 4 col(5)","男性户主×小农场子样本;机械为投入控制变量;村级聚类SE"
110-Capital_constraints_or_biased_norms_Tracing_the_root_of_gendered_agricultura,"Wu & Zhang 2025",en,Yield,MCI,mixed,"Log land productivity (log crop output value per ha, yuan/ha)","Log machine (farm machinery value/cost per ha, log)",0.021,0.002,,***,8783,,"OLS-FE (prefecture FE + province-year FE + prefectural trends)",0,1,"China 29省 (CRHPS)",2015-2019,subgroup,,,,"Table 4 col(6)","男性户主×大农场子样本;机械为投入控制变量;村级聚类SE"
112-Do_Farm_Subsidies_Effectively_Increase_Grain_ProductionEvidence_from_Major_G,"Yang, Chandio, Zhang & Liu 2023",en,Yield,MCI,cgrn,"ln Grain yield (log, 稻麦玉豆四大粮食作物总产之和)","ln Mechanical operation expense (log, 机械作业费用)",0.564,,35.026,***,3472,,OLS,0,1,"China 13个粮食主产省(全国农村固定观察点)",2017,baseline,7.79,6.34,,"Table 3 col(3)","机械作业费为中介变量,该系数来自中介模型第三步方程(lnGrain~补贴+机械费+控制);若协议'中介第二阶段'涵盖此方程请在分析阶段剔除;括号内为t值;机械作业费可能含外包机械服务支出"
112-Do_Farm_Subsidies_Effectively_Increase_Grain_ProductionEvidence_from_Major_G,"Yang, Chandio, Zhang & Liu 2023",en,Yield,MCI,cgrn,"ln Grain yield (log, 稻麦玉豆四大粮食作物总产之和)","ln Subsidies for purchasing agricultural machinery (log, 农机购置补贴额)",0.377,,1.146,n.s.,27,,OLS,0,1,"China 13个粮食主产省(全国农村固定观察点)",2017,subgroup,,,,"Table 6 col(4)","补贴类型异质性:仅获农机购置补贴子样本,N=27极小样本,不显著;括号内为t值;正文结论'农机购置补贴对粮食产出无显著促进作用'"
