study_id,author_year,lang,Target,Path,crop,dep_var,x_var,beta,se,t_stat,p_report,N,df,model,endog,micro,region,data_years,spec_type,mean_y,mean_x,elast_reported,table_source,notes
71_农业种植结构调整_政策响应_相对收益与农机服务_来自湖北省541户农民玉米种植面积调整的实证-祝华军,祝华军、楼江、田志宏(2018),cn,Area,AML,maiz,"2016年是否调减玉米种植面积(1=调减,0=未调减;虚拟)",玉米耕种作业方式(1=全人工~4=全程机械化;等级level),-0.610,,-5.312,p<0.01(正文),541,,Logit,0,1,湖北省当阳市,2016,robust,0.52,2.73,,表5模型I,"括号内为z值;OCR星号失真(*k等),正文明确该变量通过1%显著性检验;因变量为调减玉米面积概率,机械化对玉米面积的正向效应需反号"
71_农业种植结构调整_政策响应_相对收益与农机服务_来自湖北省541户农民玉米种植面积调整的实证-祝华军,祝华军、楼江、田志宏(2018),cn,Area,AML,maiz,"2016年是否调减玉米种植面积(1=调减,0=未调减;虚拟)",玉米耕种作业方式(1=全人工~4=全程机械化;等级level),-0.637,,-5.071,p<0.01(正文),541,,Logit,0,1,湖北省当阳市,2016,robust,0.52,2.73,,表5模型II,"括号内为z值;OCR星号失真,正文称通过1%显著性检验;模型II加入种田收入占比平方项;因变量为调减面积,面积正效应需反号"
71_农业种植结构调整_政策响应_相对收益与农机服务_来自湖北省541户农民玉米种植面积调整的实证-祝华军,祝华军、楼江、田志宏(2018),cn,Area,AML,maiz,"2016年是否调减玉米种植面积(1=调减,0=未调减;虚拟)",玉米耕种作业方式(1=全人工~4=全程机械化;等级level),-0.542,,-4.686,p<0.01(正文),541,,Logit,0,1,湖北省当阳市,2016,baseline,0.52,2.73,,表5模型III,"括号内为z值;OCR星号失真,正文称通过1%显著性检验;作者认定模型III为合适模型,故记baseline;因变量为调减面积,面积正效应需反号"
86农村劳动力老龄化与水稻生产效率缺失_基于社会化服务的视角-周宏,"周宏、王全忠、张倩(刊年OCR未见,据文内引用≥2014,《中国人口科学》)",cn,Efficiency,MCI,rice,"水稻生产技术无效率项(SFA一步法效率缺失方程,level)","农机使用程度(机械作业费占机械与畜力总费用比例,0-1)",-0.895,,,*,3919,,SFA,0,1,华东稻作区,"2006,2008,2010",subgroup,,0.865,,表7(华东列),"无效率方程需反号(负系数表示农机使用提高效率);表7未报告SE/t;全样本15575户(2006/2008/2010三年合并),分区N仅表1部分可见;N为该稻作区三年合计户数(表1)"
86农村劳动力老龄化与水稻生产效率缺失_基于社会化服务的视角-周宏,"周宏、王全忠、张倩(刊年OCR未见,据文内引用≥2014,《中国人口科学》)",cn,Efficiency,MCI,rice,"水稻生产技术无效率项(SFA一步法效率缺失方程,level)","农机使用程度(机械作业费占机械与畜力总费用比例,0-1)",-0.287,,,***,2808,,SFA,0,1,华南稻作区,"2006,2008,2010",subgroup,,0.744,,表7(华南列),"无效率方程需反号(负系数表示农机使用提高效率);表7未报告SE/t;全样本15575户(2006/2008/2010三年合并),分区N仅表1部分可见;N为该稻作区三年合计户数(表1)"
86农村劳动力老龄化与水稻生产效率缺失_基于社会化服务的视角-周宏,"周宏、王全忠、张倩(刊年OCR未见,据文内引用≥2014,《中国人口科学》)",cn,Efficiency,MCI,rice,"水稻生产技术无效率项(SFA一步法效率缺失方程,level)","农机使用程度(机械作业费占机械与畜力总费用比例,0-1)",-0.319,,,,,,SFA,0,1,华中稻作区,"2006,2008,2010",subgroup,,0.585,,表7(华中列),"无效率方程需反号(负系数表示农机使用提高效率);表7未报告SE/t;全样本15575户(2006/2008/2010三年合并),分区N仅表1部分可见;OCR表7该系数未见星号,但正文称'提高农机使用程度1个百分点显著减少效率缺失0.319个百分点',星号可能OCR遗漏"
86农村劳动力老龄化与水稻生产效率缺失_基于社会化服务的视角-周宏,"周宏、王全忠、张倩(刊年OCR未见,据文内引用≥2014,《中国人口科学》)",cn,Efficiency,MCI,rice,"水稻生产技术无效率项(SFA一步法效率缺失方程,level)","农机使用程度(机械作业费占机械与畜力总费用比例,0-1)",-1.012,,,*,,,SFA,0,1,西南稻作区,"2006,2008,2010",subgroup,,0.336,,表7(西南列),"无效率方程需反号(负系数表示农机使用提高效率);表7未报告SE/t;全样本15575户(2006/2008/2010三年合并),分区N仅表1部分可见"
86农村劳动力老龄化与水稻生产效率缺失_基于社会化服务的视角-周宏,"周宏、王全忠、张倩(刊年OCR未见,据文内引用≥2014,《中国人口科学》)",cn,Efficiency,MCI,rice,"水稻生产技术无效率项(SFA一步法效率缺失方程,level)","农机使用程度(机械作业费占机械与畜力总费用比例,0-1)",-0.187,,,***,,,SFA,0,1,东北稻作区,"2006,2008,2010",subgroup,,0.848,,表7(东北列),"无效率方程需反号(负系数表示农机使用提高效率);表7未报告SE/t;全样本15575户(2006/2008/2010三年合并),分区N仅表1部分可见"
91农业机械购置补贴政策对农户粮食生产行为的影响_基于福建的实证分析-洪自同,"洪自同、郑金贵(刊年OCR未见,数据2009-2011年,约2012)",cn,Area,MCI,rice,"农户是否扩大水稻种植面积(1=是,0=否;虚拟)",农户对农机购置补贴(标准)的评价(1=非常满意~5=非常不满意;等级level),0.047536,0.221975,0.214149,0.8304,360,,Logit,0,1,福建省南平/三明/龙岩,2009-2011,baseline,,,,表2,"表中SE与z均原样报告;补贴仅以农户主观评价度量;注意评价编码1=非常满意~5=非常不满意,但正文按'评价越高越满意'解读,系数方向解释以原文为准"
91农业机械购置补贴政策对农户粮食生产行为的影响_基于福建的实证分析-洪自同,"洪自同、郑金贵(刊年OCR未见,数据2009-2011年,约2012)",cn,Area,MCI,rice,"农户扩大水稻种植面积数量(亩,连续level)",农户对农机购置补贴(标准)的评价(1=非常满意~5=非常不满意;等级level),0.251594,0.054499,4.616514,0.0000*,360,,"OLS(加权,Weighted LS)",0,1,福建省南平/三明/龙岩,2009-2011,baseline,4.4680,,,表3,"表中SE与t均原样报告;mean_y取Unweighted Mean dependent var=4.467961(加权口径为0.574937);补贴为主观评价变量,编码1=非常满意~5=非常不满意,正文解读为评价越好扩面越多"
